          source           |     relationship     |          target           
---------------------------+----------------------+---------------------------
 20th Century Fox          | Employer Of          | Marilyn Monroe
 50 Cent                   | Interacted With      | Helen Mirren
 50 Cent                   | Friend Of            | Helen Mirren
 A                         | Friend Of            | Phil
 Aaron Burr                | Enemy Of             | Hamilton
 Aaron Gee                 | Employee Of          | American Thinker
 Aaron Klein               | Employee Of          | WND
 Aaron Klein               | Works For            | WorldNetDaily
 Aaron Russo               | Collaborator Of      | America: Freedom to Fasci
 Aaron Schrank             | Works For            | The Atlantic
 Aaron Zelman              | Member Of            | Jews for the Preservation
 Abbey of St. Bertin       | Founder Of           | Abbey of St. Bertin
 Abbot of Citeaux          | Leader Of            | Abbey of Citeaux
 Abdelbaset al-Megrahi     | Associate Of         | Pan Am
 Abdi İpekçi               | Employee Of          | Milliyet
 Abdulaziz al-Omari        | Graduate Of          | Aerospace Medical School
 Abdullah Azzam            | Leader Of            | Masjid al-Farooq
 Abdullah Azzam            | Mentor Of            | Osama bin Laden
 Abdullah Çatlı            | Employee Of          | CIA
 Abdullah Çatlı            | Member Of            | Gladio
 Abdullah Çatlı            | Partner Of           | Gonga Us
 Abdullah Çatlı            | Member Of            | Gray Wolves
 Abdullah Çatlı            | Collaborator Of      | Hüseyin Kocadağ
 Abdullah Çatlı            | Member Of            | Wolves
 Abdullah Gül              | Supporter Of         | Fethullah Gülen
 Abdul Rahman              | Member Of            | Afghan Local Police
 Abel                      | Supporter Of         | God
 Abid                      | Founder Of           | CIA
 Abijah                    | Child Of             | Samuel
 Abilio James Acosta       | Employee Of          | CNN
 Abraham                   | Parent Of            | Ishmael
 Abraham Bram Stoker       | Member Of            | Church of Ireland
 Abraham Flexner           | Graduate Of          | Johns Hopkins University
 Abraham Lincoln           | Attended             | Charles Chiniquy
 Abraham Lincoln           | Employer Of          | Charles Chiniquy
 Abraham Lincoln           | Competitor Of        | Stephen A. Douglas
 Abraham Lincoln           | Leader Of            | United States Armed Force
 Abraham Lincoln           | Lives In             | White House
 Abraham Stoker            | Employee Of          | Dublin Evening Mail
 Abraham Stoker            | Spouse Of            | Florence Balcombe
 Abraham Stoker            | Employee Of          | Irish government
 Abu Bakr                  | Parent Of            | Muhammad
 Abu Bakr                  | Spouse Of            | Muhammad
 Abu Hamza                 | Employee Of          | MI5
 Abu Ubaidah ibn al-Jarrah | Member Of            | Rashidun Caliphate
 Abuzer Uğurlu             | Member Of            | Grey Wolves
 Acer                      | Employer Of          | Kimberly Bergalis
 Achille Liénart           | Member Of            | P2
 Activision                | Employer Of          | Giuliani
 Act Up                    | Critic Of            | Celia Farber
 Act Up                    | Critic Of            | Gary Null
 Acworth's father          | Parent Of            | Peter Acworth
 Ada                       | Parent Of            | Judith Ann Gelernter
 Ada                       | Spouse Of            | Thierry d'Avesnes
 Adam                      | Parent Of            | Cain
 Adam                      | Spouse Of            | Eve
 Adam                      | Parent Of            | Seth
 Adam                      | Child Of             | The Creator
 Adam Andrzejewski         | Employee Of          | Forbes
 Adam de Marolles          | Subordinate Of       | Henri de Elisia
 Adam du Coeuret           | Partner Of           | la Voisin
 Adam du Coeuret           | Lives In             | Normandy
 Adam Gabbatt              | Employee Of          | The Guardian
 Adam Geller               | Leader Of            | Republican polling corpor
 Adam Housley              | Employee Of          | FoxNews
 Adam James                | Child Of             | Maria James
 Adam Lanza                | Associate Of         | Sandy Hook Elementary Sch
 Adam LeBor                | Employee Of          | Daily Mail
 Adam Pribicevic           | Leader Of            | Independent Democratic Pa
 Adams                     | Employee Of          | Senate House in Washingto
 Adamson                   | Colleague Of         | Lipoff
 Adam Weinstein            | Works For            | Gawker
 Adam Weishaupt            | Collaborator Of      | Friedrich Nicolai
 Adam Weishaupt            | Founder Of           | German Illuminati
 Adam Weishaupt            | Founder Of           | Illuminati
 Adam Weishaupt            | Founder Of           | Illuminati
 Adam Weishaupt            | Employee Of          | Jesuit college at Ingolst
 Adam Weishaupt            | Teacher Of           | Jesuit Ingolstadt Univers
 Adam Weishaupt            | Member Of            | Jesuit order
 Adam Weishaupt            | Member Of            | Jesuits
 Adam Weishaupt            | Member Of            | Society of Jesus
 Adam Weishaupt            | Employee Of          | University of Ingolstadt
 Adelaide                  | Child Of             | Raymond of Toulouse
 Adenauer                  | Lives In             | Paris
 Adeodatus                 | Child Of             | Augustine
 Adhanom Ghebreyesus       | Leader Of            | Ethiopia
 Adlai Ewing Stevenson II  | Employee Of          | United Nations
 Adler Berriman Seal       | Employee Of          | CIA
 Admiral de Loheac         | Cousin Of            | Rais
 Admiral Hall              | Leader Of            | British Naval Intelligenc
 Admiral Stansfield Turner | Leader Of            | CIA
 Adolf Bertram             | Lives In             | Breslau
 Adolf Bormann             | Associate Of         | Adolf Hitler
 Adolf Bormann             | Child Of             | Bormann
 Adolf Bormann             | Child Of             | Martin Bormann
 Adolf Hitler              | Associate Of         | Adolf Bormann
 Adolf Hitler              | Interacted With      | Bishop Berning
 Adolf Hitler              | Member Of            | Deutsche Arbeiter Partei
 Adolf Hitler              | Superior Of          | Heinrich Himmler
 Adolf Hitler              | Employer Of          | Leni Riefenstahl
 Adolf Hitler              | Leader Of            | Nazi Party
 Adolf Hitler              | Supporter Of         | Teutonic Knights
 Adolf Hitler              | Owner Of             | Victory Column
 Adolph “Spike” Dubs       | Lives In             | Kabul
 Adriana Orsini            | Spouse Of            | Lodovico Orsini
 Adriana Orsini            | Parent Of            | Orso Orsini
 Adriana Orsini            | Cousin Of            | Roderigo
 Adrian Dedal              | Associate Of         | Charles Habsburg
 Adrian I                  | Interacted With      | Charlemagne
 Adrian VI                 | Superior Of          | Iñigo de Loyola
 Adrien Loir               | Niece/Nephew Of      | Louis Pasteur
 Adrien Loir               | Employee Of          | Pasteur
 Adrien Loir               | Niece/Nephew Of      | Pasteur
 Aeneas                    | Child Of             | Anchises
 Aeneas                    | Child Of             | Venus
 Aerojet Corporation       | Founder Of           | Jack Parsons
 Affonso II                | Leader Of            | Cortes
 Agag                      | Lives In             | Amalek
 Agamemnon                 | Spouse Of            | Clytemnestra
 Agamemnon                 | Parent Of            | Iphigenia
 Agapito                   | Employer Of          | Martino Yasquez
 Agapito Colonna           | Lives In             | Lisbon
 Agave                     | Parent Of            | Pentheus
 Agha Hasan Abedi          | Founder Of           | Bank of Credit and Commer
 Agnes Ullmann             | Employee Of          | Institut Pasteur
 Agostino Cacciavillan     | Member Of            | P2
 Agostino Casaroli         | Employee Of          | Holy See
 Agostino Casaroli         | Member Of            | P2
 Agostino Casaroli         | Employee Of          | Vatican
 Agostino Casaroli         | Leader Of            | Vatican Diplomatic Corps
 Agrippina                 | Sibling Of           | Caligula
 Agrippina                 | Child Of             | Germanicus
 Agrippina                 | Parent Of            | Nero
 Agrippina                 | Spouse Of            | Tiberius Claudius Caesar 
 Agrippina                 | Niece/Nephew Of      | Tiberius Claudius Caesar 
 Aimeric Castel            | Supporter Of         | Boniface VIII
 Aimeric Castel            | Collaborator Of      | Carcassonne
 Aimeric Castel            | Child Of             | Castel Fabri
 Aimeric of Santa Maria Nu | Founder Of           | Honorius II
 Aimeric of Santa Maria Nu | Founder Of           | Innocent II
 Air America               | Subordinate Of       | CIA
 Aislinn Simpson           | Employee Of          | Telegraph
 Aiwass                    | Associate Of         | Crowley
 Aiwass                    | Founder Of           | The Book of the Law
 AJ Caradori               | Child Of             | Caradori
 Aki Sawahata              | Employee Of          | CIA
 Aki Sawahata              | Colleague Of         | Terry Reed
